"id","name","activity_type","qr_code","is_active","pricing_tier","stadium_theme","hourly_rate","minimum_charge","display_order","created_at","half_hour_rate","half_hour_enabled"
"cd712fff-a773-457b-a8c8-47d4947c9123","Old Trafford ( Room 1)","PLAYSTATION","https://squad.xtratickets.com/order/cd712fff-a773-457b-a8c8-47d4947c9123",True,NULL,NULL,"140.00",1800,0,"2026-01-10 18:10:15.69+00",NULL,False
"09b85df0-4a8d-4942-98fd-2a69975fec40","Cairo Stadium (Room 2)","PLAYSTATION","https://squad.xtratickets.com/order/09b85df0-4a8d-4942-98fd-2a69975fec40",True,NULL,NULL,"170.00",1800,1,"2026-01-10 18:10:29.708+00","0.00",False
"5de282ca-10b3-4351-b0e2-693286e94bee","Mokhtar El Tetsh (Room 3)","PLAYSTATION","https://squad.xtratickets.com/order/5de282ca-10b3-4351-b0e2-693286e94bee",True,NULL,NULL,"250.00",1800,2,"2026-01-10 18:11:23.743+00",NULL,False
"48698829-567b-4120-986b-34ffa1ceed4c","Santiago (Room 7)","PLAYSTATION","https://squad.xtratickets.com/order/48698829-567b-4120-986b-34ffa1ceed4c",True,NULL,NULL,"170.00",1800,6,"2026-01-10 18:12:54.043+00",NULL,False
"1a841868-0f46-40bd-b4cd-7474a9517c9b","Anfielled ( Room 8)","PLAYSTATION","https://squad.xtratickets.com/order/1a841868-0f46-40bd-b4cd-7474a9517c9b",True,NULL,NULL,"170.00",1800,7,"2026-01-10 18:13:31.462+00","0.00",False
"ebecfd0c-cd56-4db3-89b7-f532e9b429a1","Emirates Stadium (Room 9)","PLAYSTATION","https://squad.xtratickets.com/order/ebecfd0c-cd56-4db3-89b7-f532e9b429a1",True,NULL,NULL,"140.00",1800,8,"2026-01-10 18:13:48.207+00",NULL,False
"f9cdd776-6b0f-4e63-afa8-640ad2ffecc5","Car Simulator","CAR_SIMULATOR","https://squad.xtratickets.com/order/f9cdd776-6b0f-4e63-afa8-640ad2ffecc5",True,NULL,NULL,"500.00",1800,10,"2026-01-10 18:14:12.457+00",NULL,False
"cd05f2db-dae4-4ad2-b12a-f5ca3934425d","Billiard","BILLIARD","https://squad.xtratickets.com/order/cd05f2db-dae4-4ad2-b12a-f5ca3934425d",True,NULL,NULL,"120.00",1800,9,"2026-01-10 18:14:01.645+00","0.00",False
"b590830e-0cc3-4067-8214-825f41a20f26","Helmy Zamora ( Room 4)","PLAYSTATION","https://squad.xtratickets.com/order/b590830e-0cc3-4067-8214-825f41a20f26",True,NULL,NULL,"250.00",1800,4,"2026-01-10 18:11:45.857+00",NULL,False
"d904f64b-cc85-4014-931f-f3144698690d","Camp Nou ( Room 6)","PLAYSTATION","https://squad.xtratickets.com/order/d904f64b-cc85-4014-931f-f3144698690d",True,NULL,NULL,"170.00",1800,5,"2026-01-10 18:12:16.031+00",NULL,False
"f2164ad4-c87c-441a-b64f-99553ef8b12b","San Siro ( Room 5)","PLAYSTATION","https://squad.xtratickets.com/order/f2164ad4-c87c-441a-b64f-99553ef8b12b",True,NULL,NULL,"170.00",1800,4,"2026-01-10 18:12:00.849+00",NULL,False
