"id","name","type","price","stock","low_stock_threshold","category_id","image_url","is_active","created_at","owner_price"
"6e640f1b-0d46-432e-812c-90f4567922e1","سمبوسك لحم","EDEN_FOOD","142.50",100,5,"2d75b1f1-55b3-459d-b57a-e7802d37f21c",NULL,True,"2026-01-11 23:34:25.44887+00",NULL
"b987c5c1-4628-4f60-89d5-a3072d5fa71a","Shesha","EDEN_FOOD","240.00",100,5,"2d75b1f1-55b3-459d-b57a-e7802d37f21c",NULL,True,"2026-01-10 19:23:20.136+00",NULL
"898c3aae-55e8-483a-b440-dbbc571bc46e","كريب نوتيلا","EDEN_FOOD","125.40",100,5,"2d75b1f1-55b3-459d-b57a-e7802d37f21c",NULL,True,"2026-01-11 22:14:13.193929+00",NULL
"5f114d83-adbe-47a7-9aa4-8d635322bd0a","كريب نوتيلا وموز ومارشميلو","EDEN_FOOD","136.80",100,5,"2d75b1f1-55b3-459d-b57a-e7802d37f21c",NULL,True,"2026-01-11 22:14:13.193929+00",NULL
"fd1a6e16-5832-465a-80ea-c883d01de8de","كريب لوتس","EDEN_FOOD","142.50",100,5,"2d75b1f1-55b3-459d-b57a-e7802d37f21c",NULL,True,"2026-01-11 22:14:13.193929+00",NULL
"5fae4532-33ef-4389-b578-f969b02e69f2","كريب بستاشيو","EDEN_FOOD","148.20",100,5,"2d75b1f1-55b3-459d-b57a-e7802d37f21c",NULL,True,"2026-01-11 22:14:13.193929+00",NULL
"ef3b6bf1-8e27-4426-9ad2-35fa5df16e3c","كريب ميكس","EDEN_FOOD","159.60",100,5,"2d75b1f1-55b3-459d-b57a-e7802d37f21c",NULL,True,"2026-01-11 22:14:13.193929+00",NULL
"ac0719bd-6abb-45f9-aedf-b4f0246210e3","وافل نوتيلا","EDEN_FOOD","125.40",100,5,"2d75b1f1-55b3-459d-b57a-e7802d37f21c",NULL,True,"2026-01-11 22:14:13.193929+00",NULL
"b2ca1d57-a97b-45c3-8d25-44e2c62afd7e","وافل نوتيلا وموز","EDEN_FOOD","136.80",100,5,"2d75b1f1-55b3-459d-b57a-e7802d37f21c",NULL,True,"2026-01-11 22:14:13.193929+00",NULL
"dba9fbae-d864-4121-adf7-a04f5ca12c40","بطاطس بالجبنة الشيدر","EDEN_FOOD","171.00",100,5,"2d75b1f1-55b3-459d-b57a-e7802d37f21c",NULL,True,"2026-01-11 23:34:25.44887+00",NULL
